league,team_id,team_slug,team_name,team_display,team_color
mens,103,boston-college-eagles,Boston College,BC,#7f2c34
mens,104,boston-university-terriers,Boston University,BU,#bb3430
mens,107,holy-cross-crusaders,Holy Cross,Holy Cross,#5f318c
mens,108,harvard-crimson,Harvard,Harvard,#962c3a
mens,111,northeastern-huskies,Northeastern,NU,#bf2e21
mens,112358,long-island-university-sharks,Long Island University,LIU,#6fafe2
mens,113,massachusetts-minutemen,Massachusetts,UMass,#7c2621
mens,116,mount-st-marys-mountaineers,Mount St. Mary's,MSM,#172b4f
mens,119,towson-tigers,Towson,Towson,#f3bd50
mens,12,arizona-wildcats,Arizona,Arizona,#9d2127
mens,120,maryland-terrapins,Maryland,Maryland,#d2353e
mens,127,michigan-state-spartans,Michigan State,Mich State,#27443b
mens,13,cal-poly-mustangs,Cal Poly,Cal Poly,#1c471a
mens,130,michigan-wolverines,Michigan,Michigan,#0c2649
mens,135,minnesota-golden-gophers,Minnesota,Minnesota,#56132f
mens,139,saint-louis-billikens,Saint Louis,Saint Louis,#163ba0
mens,140,kansas-city-roos,Kansas City,Kansas City,#1d4983
mens,142,missouri-tigers,Missouri,Missouri,#f3ba46
mens,145,ole-miss-rebels,Ole Miss,Ole Miss,#ba2935
mens,147,montana-state-bobcats,Montana State,MT State,#081f58
mens,149,montana-grizzlies,Montana,Montana,#952c4b
mens,150,duke-blue-devils,Duke,Duke,#102e82
mens,151,east-carolina-pirates,East Carolina,ECU,#552f7e
mens,152,nc-state-wolfpack,NC State,NC State,#221f20
mens,153,north-carolina-tar-heels,North Carolina,UNC,#86aed0
mens,154,wake-forest-demon-deacons,Wake Forest,WFU,#17191e
mens,155,north-dakota-fighting-hawks,North Dakota,UND,#43964e
mens,156,creighton-bluejays,Creighton,Creighton,#265ca5
mens,158,nebraska-cornhuskers,Nebraska,Nebraska,#bf281b
mens,159,dartmouth-big-green,Dartmouth,Dartmouth,#275d33
mens,16,sacramento-state-hornets,Sacramento State,Sac State,#23563f
mens,160,new-hampshire-wildcats,New Hampshire,UNH,#0c265a
mens,161,fairleigh-dickinson-knights,Fairleigh Dickinson,FDU,#2a3347
mens,163,princeton-tigers,Princeton,Princeton,#ea7035
mens,164,rutgers-scarlet-knights,Rutgers,Rutgers,#b72b35
mens,166,new-mexico-state-aggies,New Mexico State,NM State,#731e1d
mens,167,new-mexico-lobos,New Mexico,UNM,#b5293e
mens,171,columbia-lions,Columbia,Columbia,#1d4a81
mens,172,cornell-big-red,Cornell,Cornell,#db4233
mens,179,st-bonaventure-bonnies,St. Bonaventure,SBU,#4a3329
mens,183,syracuse-orange,Syracuse,Syracuse,#cf4f25
mens,189,bowling-green-falcons,Bowling Green,BGU,#e37e47
mens,193,miami-oh-redhawks,Miami (OH),Miami (OH),#be2f35
mens,194,ohio-state-buckeyes,Ohio State,Ohio State,#bd2d45
mens,195,ohio-bobcats,Ohio,Ohio,#224635
mens,197,oklahoma-state-cowboys,Oklahoma State,OSU,#eb672c
mens,198,oral-roberts-golden-eagles,Oral Roberts,ORU,#a08e3c
mens,2,auburn-tigers,Auburn,Auburn,#d96c38
mens,2000,abilene-christian-wildcats,Abilene Christian,ACU,#532f7e
mens,2005,air-force-falcons,Air Force,Air Force,#13348d
mens,2006,akron-zips,Akron,Akron,#111d3f
mens,201,oklahoma-sooners,Oklahoma,Oklahoma,#962d39
mens,2010,alabama-am-bulldogs,Alabama A&M,AL A&M,#84182b
mens,2011,alabama-state-hornets,Alabama State,AL State,#edc845
mens,2016,alcorn-state-braves,Alcorn State,Alcorn,#4c2f69
mens,202,tulsa-golden-hurricane,Tulsa,Tulsa,#13348f
mens,2026,app-state-mountaineers,App State,App State,#f5d70b
mens,2029,arkansas-pine-bluff-golden-lions,Arkansas-Pine Bluff,Pine Bluff,#e7b541
mens,2031,little-rock-trojans,Little Rock,Little Rock,#542028
mens,2032,arkansas-state-red-wolves,Arkansas State,AK State,#d2353e
mens,204,oregon-state-beavers,Oregon State,OR State,#d15024
mens,2046,austin-peay-governors,Austin Peay,Austin Peay,#b32934
mens,2050,ball-state-cardinals,Ball State,Ball State,#bb271a
mens,2057,belmont-bruins,Belmont,Belmont,#d44653
mens,2065,bethune-cookman-wildcats,Bethune-Cookman,BCU,#7a1638
mens,2066,binghamton-bearcats,Binghamton,Bing,#3e6e56
mens,2083,bucknell-bison,Bucknell,Bucknell,#d96937
mens,2084,buffalo-bulls,Buffalo,Buffalo,#265ca3
mens,2086,butler-bulldogs,Butler,Butler,#000031
mens,2097,campbell-fighting-camels,Campbell,Campbell,#eb562e
mens,2099,canisius-golden-griffins,Canisius,Canisius,#e4b340
mens,21,san-diego-state-aztecs,San Diego State,San Diego,#b43e3e
mens,2110,central-arkansas-bears,Central Arkansas,Central AR,#49287e
