league,team_id,team_slug,team_name
mens,103,boston-college-eagles,Boston College Eagles
mens,25,california-golden-bears,California Golden Bears
mens,228,clemson-tigers,Clemson Tigers
mens,150,duke-blue-devils,Duke Blue Devils
mens,52,florida-state-seminoles,Florida State Seminoles
mens,59,georgia-tech-yellow-jackets,Georgia Tech Yellow Jackets
mens,97,louisville-cardinals,Louisville Cardinals
mens,2390,miami-hurricanes,Miami Hurricanes
mens,152,nc-state-wolfpack,NC State Wolfpack
mens,153,north-carolina-tar-heels,North Carolina Tar Heels
mens,87,notre-dame-fighting-irish,Notre Dame Fighting Irish
mens,221,pittsburgh-panthers,Pittsburgh Panthers
mens,2567,smu-mustangs,SMU Mustangs
mens,24,stanford-cardinal,Stanford Cardinal
mens,183,syracuse-orange,Syracuse Orange
mens,258,virginia-cavaliers,Virginia Cavaliers
mens,259,virginia-tech-hokies,Virginia Tech Hokies
mens,154,wake-forest-demon-deacons,Wake Forest Demon Deacons
mens,2046,austin-peay-governors,Austin Peay Governors
mens,91,bellarmine-knights,Bellarmine Knights
mens,2110,central-arkansas-bears,Central Arkansas Bears
mens,2198,eastern-kentucky-colonels,Eastern Kentucky Colonels
mens,526,florida-gulf-coast-eagles,Florida Gulf Coast Eagles
mens,294,jacksonville-dolphins,Jacksonville Dolphins
mens,288,lipscomb-bisons,Lipscomb Bisons
mens,2453,north-alabama-lions,North Alabama Lions
mens,2454,north-florida-ospreys,North Florida Ospreys
mens,2511,queens-university-royals,Queens University Royals
mens,56,stetson-hatters,Stetson Hatters
mens,2698,west-georgia-wolves,West Georgia Wolves
mens,2066,binghamton-bearcats,Binghamton Bearcats
mens,2803,bryant-bulldogs,Bryant Bulldogs
mens,311,maine-black-bears,Maine Black Bears
mens,2885,njit-highlanders,NJIT Highlanders
mens,160,new-hampshire-wildcats,New Hampshire Wildcats
mens,399,ualbany-great-danes,UAlbany Great Danes
mens,2378,umbc-retrievers,UMBC Retrievers
mens,2349,umass-lowell-river-hawks,UMass Lowell River Hawks
mens,261,vermont-catamounts,Vermont Catamounts
mens,2429,charlotte-49ers,Charlotte 49ers
mens,151,east-carolina-pirates,East Carolina Pirates
mens,2226,florida-atlantic-owls,Florida Atlantic Owls
mens,235,memphis-tigers,Memphis Tigers
mens,249,north-texas-mean-green,North Texas Mean Green
mens,242,rice-owls,Rice Owls
mens,58,south-florida-bulls,South Florida Bulls
mens,218,temple-owls,Temple Owls
mens,2655,tulane-green-wave,Tulane Green Wave
mens,202,tulsa-golden-hurricane,Tulsa Golden Hurricane
mens,5,uab-blazers,UAB Blazers
mens,2636,utsa-roadrunners,UTSA Roadrunners
mens,2724,wichita-state-shockers,Wichita State Shockers
mens,2166,davidson-wildcats,Davidson Wildcats
mens,2168,dayton-flyers,Dayton Flyers
mens,2184,duquesne-dukes,Duquesne Dukes
mens,2230,fordham-rams,Fordham Rams
mens,2244,george-mason-patriots,George Mason Patriots
mens,45,george-washington-revolutionaries,George Washington Revolutionaries
mens,2325,la-salle-explorers,La Salle Explorers
